DBO_mg/L,DQO_mg/L,SST_mg/L,COLI_FEC_NMP_100mL,E_COLI_NMP_100mL,OD_PORC,TOX_D_48_UT,TOX_V_15_UT
31.2,38.56,12.0,210.0,43.0,56.1,1.0,1.0
3.37,10.0,11.0,2400.0,2400.0,71.27615887951983,1.0,1.0
5.57,16.66,10.0,2400.0,16999.568893021613,89.0,1.0,1.0
8.0,37.04,10.0,24000.0,24000.0,29.2,1.0,1.0
2.0,10.0,10.0,2400.0,54136.23593508708,70.86692984135249,1.0,1.0
2.0,19.96,10.0,930.0,210.0,92.9,1.0,1.0
2.0,10.0,22.0,2400.0,2400.0,90.0,1.0,1.0
2.0,22.04,67.0,2400.0,930.0,92.1,1.0,1.0
2.0,10.0,10.0,2400.0,2400.0,71.55279607163648,1.0,1.0
2.0,21.21,12.0,750.0,29768.716118565353,81.7,1.0,1.0
2.0,10.0,189.00173174320173,2400.0,2400.0,88.0,1.0,1.0
2.0,29.13,10.0,930.0,430.0,38.7,1.0,1.0
2.0,27.88,10.0,2100.0,750.0,96.0,1.0,1.0
2.0,10.0,10.0,2400.0,2400.0,89.0,1.0,0.43831471769289765
2.0,10.0,10.0,2400.0,2400.0,89.0,1.0,1.0
2.0,10.0,10.0,2400.0,2400.0,91.0,1.0,1.0
2.0,10.0,10.0,2400.0,2400.0,92.0,1.0,1.0
4.7,10.0,748.0,38730.0,32550.0,84.3,1.0,0.3292625288231683
2.0,18.3,37.5,24196.0,24196.0,88.9,1.0,1.0
2.0,10.0,24.8,24196.0,55108.651640990545,70.87912997546971,1.0,1.0
2.0,10.0,15.8,4611.0,9943.613514256547,95.2,1.0,1.0
2.0,10.0,37.3,3654.0,933.0,89.5,1.0,1.0
2.0,10.0,12.6,4611.0,38705.16532293375,79.4,1.0,1.0
2.0,10.0,10.0,6131.0,2595.0,73.8,1.0,1.0
2.0,-14.656529507836701,10.0,-4883736.475057578,393.0,10.0,1.0,1.0
2.0,10.0,10.0,-4493865.837049518,281.0,10.0,1.0,1.0
2.0,12.54,10.0,5475.0,164020.31959492745,10.0,1.0,1.0
