DQO_mg/L,TOX_V_15_UT,E_COLI_NMP_100mL,TOX_D_48_UT
10.0,1.0,24196.0,1.0
10.0,1.63,3.0,1.0
20.26,1.0,10.0,2.51
10.0,1.0,110.0,1.0
10.0,1.0,1119.0,1.0
21.63,1.0,315.0,1.0
12.78,1.0,6131.0,1.0
79.13,1.0,3640.0,1.0
233.79,1.0,17329.0,1.0
10.0,1.0,460.0,1.0
10.0,1.0,657.0,1.0
10.92,1.0,404.0,1.0
19.04,1.0,5475.0,1.0
10.0,1.0,3.0,1.0
10.0,1.0,3.0,1.0
10.0,1.0,3.0,1.0
10.0,1.0,10.0,1.0
28.42,1.0,3.0,1.0
12.42,1.0,1220.0,1.0
18.39,1.0,10.0,1.0
10.0,1.0,3.0,1.0
111.69,1.0,1354.0,1.0
41.59,1.0,1100.0,1.0
32.21,1.0,158.0,1.0
362.69,10.87,241960.0,1.0
49.72,1.0,3310.0,1.0
11.7,1.0,10.0,1.0
28.42,1.0,1340.0,1.0
10.0,1.0,3.0,1.0
19.32,1.0,84.0,1.0
20.26,1.0,63.0,1.0
17.56,1.0,318.0,1.0
10.0,1.0,52.0,1.0
195.33,1.0,241960.0,1.0
205.95,1.0,24196.0,1.0
271.28,2.78,2419600.0,1.0
139.97,1.0,24196.0,1.0
134.97,1.0,24196.0,1.0
73.05,1.0,24196.0,1.0
179.28,2.82,2419600.0,1.0
206.26,1.0,241960.0,1.0
63.64,1.0,20.0,1.0
79.64,1.0,132.0,1.0
10.0,1.0,15531.0,1.0
10.0,1.0,24196.0,1.0
10.0,1.0,717.0,1.0
35.03,1.0,24196.0,1.0
34.92,1.0,4611.0,1.0
10.0,1.0,441.0,1.0
17.39,1.0,232.0,1.0
10.0,1.0,3.0,1.0
10.0,1.0,650.0,1.0
15.96,1.0,3.0,1.0
10.92,1.0,630.0,1.0
13.44,1.0,3110.0,1.0
13.44,1.0,520.0,1.0
13.31,1.0,594.0,1.0
14.14,1.0,767.0,1.0
118.18,1.0,145.0,1.0
11.82,1.0,462.0,1.0
34.15,1.0,2014.0,1.0
10.0,1.0,1616.0,1.0
10.0,1.0,399.0,1.0
10.0,1.0,98.0,1.0
10.0,1.0,52.0,1.0
12.66,1.0,211.0,1.0
25.08,1.0,754.0,1.0
10.08,1.0,520.0,1.0
128.67,35.71,24196.0,1.0
116.46,9.09,24196.0,1.0
10.0,1.0,134.0,1.0
10.0,1.0,120.0,1.0
10.0,1.0,5172.0,1.0
10.0,1.0,520.0,1.0
14.21,1.0,1014.0,1.0
10.0,1.0,2723.0,1.0
10.0,1.0,20.0,1.0
10.92,1.0,471.0,1.0
10.0,1.0,75.0,1.0
12.42,1.0,86.0,1.0
13.25,1.0,537.0,1.0
14.14,1.0,19863.0,1.0
12.48,1.0,20.0,1.0
10.0,1.0,520.0,1.0
15.81,1.0,142.0,1.0
